[2026-06-25T13:57:36.795] CC15 search started
[2026-06-25T13:57:36.795] range: 10^18 - 9220000000000000000
[2026-06-25T13:57:36.799] batch size: 10000000000000000
[2026-06-25T13:57:36.799] threads: 2
[2026-06-25T14:26:39.653] [111/822] 2,100,000,000,000,000,000-2,110,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1743.0s ETA=186min -0.1%
[2026-06-25T14:26:55.447] [112/822] 2,110,000,000,000,000,000-2,120,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1759.0s ETA=186min 0.0%
[2026-06-25T14:27:11.261] [113/822] 2,120,000,000,000,000,000-2,130,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1774.0s ETA=186min 0.2%
[2026-06-25T14:27:26.916] [114/822] 2,130,000,000,000,000,000-2,140,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1790.0s ETA=185min 0.3%
[2026-06-25T14:27:42.394] [115/822] 2,140,000,000,000,000,000-2,150,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1806.0s ETA=185min 0.4%
[2026-06-25T14:27:57.843] [116/822] 2,150,000,000,000,000,000-2,160,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1821.0s ETA=185min 0.5%
[2026-06-25T14:28:13.426] [117/822] 2,160,000,000,000,000,000-2,170,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1837.0s ETA=184min 0.6%
[2026-06-25T14:28:28.927] [118/822] 2,170,000,000,000,000,000-2,180,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1852.0s ETA=184min 0.8%
[2026-06-25T14:28:44.413] [119/822] 2,180,000,000,000,000,000-2,190,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1868.0s ETA=184min 0.9%
[2026-06-25T14:29:00.020] [120/822] 2,190,000,000,000,000,000-2,200,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1883.0s ETA=184min 1.0%
[2026-06-25T14:29:15.734] [121/822] 2,200,000,000,000,000,000-2,210,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1899.0s ETA=183min -1.1%
[2026-06-25T14:29:31.185] [122/822] 2,210,000,000,000,000,000-2,220,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1914.0s ETA=183min -1.0%
[2026-06-25T14:29:46.761] [123/822] 2,220,000,000,000,000,000-2,230,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1930.0s ETA=183min -0.9%
[2026-06-25T14:30:02.238] [124/822] 2,230,000,000,000,000,000-2,240,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1945.0s ETA=182min -0.7%
[2026-06-25T14:30:18.012] [125/822] 2,240,000,000,000,000,000-2,250,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1961.0s ETA=182min -0.6%
[2026-06-25T14:30:33.681] [126/822] 2,250,000,000,000,000,000-2,260,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1977.0s ETA=182min -0.5%
[2026-06-25T14:30:49.414] [127/822] 2,260,000,000,000,000,000-2,270,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1993.0s ETA=182min -0.4%
[2026-06-25T14:31:05.148] [128/822] 2,270,000,000,000,000,000-2,280,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2008.0s ETA=181min -0.3%
[2026-06-25T14:31:20.764] [129/822] 2,280,000,000,000,000,000-2,290,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2024.0s ETA=181min -0.1%
[2026-06-25T14:31:36.399] [130/822] 2,290,000,000,000,000,000-2,300,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2040.0s ETA=181min -0.0%
[2026-06-25T14:31:52.121] [131/822] 2,300,000,000,000,000,000-2,310,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2055.0s ETA=181min 0.1%
[2026-06-25T14:32:07.930] [132/822] 2,310,000,000,000,000,000-2,320,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2071.0s ETA=180min 0.2%
[2026-06-25T14:32:23.855] [133/822] 2,320,000,000,000,000,000-2,330,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=2087.0s ETA=180min 0.3%
[2026-06-25T14:32:39.635] [134/822] 2,330,000,000,000,000,000-2,340,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2103.0s ETA=180min 0.5%
[2026-06-25T14:32:55.248] [135/822] 2,340,000,000,000,000,000-2,350,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2118.0s ETA=180min 0.6%
[2026-06-25T14:33:11.099] [136/822] 2,350,000,000,000,000,000-2,360,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=2134.0s ETA=179min 0.7%
[2026-06-25T14:33:26.774] [137/822] 2,360,000,000,000,000,000-2,370,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2150.0s ETA=179min 0.8%
[2026-06-25T14:33:42.389] [138/822] 2,370,000,000,000,000,000-2,380,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2166.0s ETA=179min 1.0%
[2026-06-25T14:33:57.997] [139/822] 2,380,000,000,000,000,000-2,390,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2181.0s ETA=179min 1.1%
[2026-06-25T14:34:13.665] [140/822] 2,390,000,000,000,000,000-2,400,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2197.0s ETA=178min -1.0%
[2026-06-25T14:34:29.303] [141/822] 2,400,000,000,000,000,000-2,410,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2212.0s ETA=178min -0.9%
[2026-06-25T14:34:44.943] [142/822] 2,410,000,000,000,000,000-2,420,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2228.0s ETA=178min -0.8%
[2026-06-25T14:35:00.572] [143/822] 2,420,000,000,000,000,000-2,430,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2244.0s ETA=178min -0.7%
[2026-06-25T14:35:16.224] [144/822] 2,430,000,000,000,000,000-2,440,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2259.0s ETA=177min -0.6%
[2026-06-25T14:35:31.908] [145/822] 2,440,000,000,000,000,000-2,450,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2275.0s ETA=177min -0.4%
[2026-06-25T14:35:47.520] [146/822] 2,450,000,000,000,000,000-2,460,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2291.0s ETA=177min -0.3%
[2026-06-25T14:36:03.168] [147/822] 2,460,000,000,000,000,000-2,470,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2306.0s ETA=176min -0.2%
[2026-06-25T14:36:18.805] [148/822] 2,470,000,000,000,000,000-2,480,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2322.0s ETA=176min -0.1%
[2026-06-25T14:36:34.461] [149/822] 2,480,000,000,000,000,000-2,490,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2338.0s ETA=176min 0.1%
[2026-06-25T14:36:50.117] [150/822] 2,490,000,000,000,000,000-2,500,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2353.0s ETA=176min 0.2%
[2026-06-25T14:37:05.763] [151/822] 2,500,000,000,000,000,000-2,510,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2369.0s ETA=175min 0.3%
[2026-06-25T14:37:21.402] [152/822] 2,510,000,000,000,000,000-2,520,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2385.0s ETA=175min 0.4%
[2026-06-25T14:37:37.081] [153/822] 2,520,000,000,000,000,000-2,530,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2400.0s ETA=175min 0.5%
