CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[476/822] 5,750,000,000,000,000,000-5,760,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1186.0s ETA=14min -0.6%
[477/822] 5,760,000,000,000,000,000-5,770,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1201.0s ETA=14min -0.4%
[478/822] 5,770,000,000,000,000,000-5,780,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1217.0s ETA=15min -0.3%
[479/822] 5,780,000,000,000,000,000-5,790,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1232.0s ETA=15min -0.2%
[480/822] 5,790,000,000,000,000,000-5,800,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1248.0s ETA=15min -0.1%
[481/822] 5,800,000,000,000,000,000-5,810,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1263.0s ETA=15min 0.0%
[482/822] 5,810,000,000,000,000,000-5,820,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1279.0s ETA=15min 0.2%
[483/822] 5,820,000,000,000,000,000-5,830,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1294.0s ETA=15min 0.3%
[484/822] 5,830,000,000,000,000,000-5,840,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1310.0s ETA=15min 0.4%
[485/822] 5,840,000,000,000,000,000-5,850,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1325.0s ETA=15min 0.5%
