CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[163/822] 2,620,000,000,000,000,000-2,630,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2559.0s ETA=172min -0.5%
[164/822] 2,630,000,000,000,000,000-2,640,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=2575.0s ETA=172min -0.4%
[165/822] 2,640,000,000,000,000,000-2,650,000,000,000,000,000 | 16.1s | found=0 total=0 | elapsed=2591.0s ETA=172min -0.2%
[166/822] 2,650,000,000,000,000,000-2,660,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=2607.0s ETA=172min -0.1%
[167/822] 2,660,000,000,000,000,000-2,670,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=2623.0s ETA=171min -0.0%
[168/822] 2,670,000,000,000,000,000-2,680,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=2639.0s ETA=171min 0.1%
[169/822] 2,680,000,000,000,000,000-2,690,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2654.0s ETA=171min 0.2%
[170/822] 2,690,000,000,000,000,000-2,700,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=2671.0s ETA=171min 0.4%
[171/822] 2,700,000,000,000,000,000-2,710,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=2687.0s ETA=170min 0.5%
[172/822] 2,710,000,000,000,000,000-2,720,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2702.0s ETA=170min 0.6%
[173/822] 2,720,000,000,000,000,000-2,730,000,000,000,000,000 | 16.1s | found=0 total=0 | elapsed=2718.0s ETA=170min 0.7%
[174/822] 2,730,000,000,000,000,000-2,740,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=2734.0s ETA=170min 0.8%
[175/822] 2,740,000,000,000,000,000-2,750,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2750.0s ETA=169min 1.0%
[176/822] 2,750,000,000,000,000,000-2,760,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2766.0s ETA=169min 1.1%
[177/822] 2,760,000,000,000,000,000-2,770,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2781.0s ETA=169min -1.0%
[178/822] 2,770,000,000,000,000,000-2,780,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2797.0s ETA=169min -0.9%
[179/822] 2,780,000,000,000,000,000-2,790,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2813.0s ETA=168min -0.8%
[180/822] 2,790,000,000,000,000,000-2,800,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2829.0s ETA=168min -0.7%
[181/822] 2,800,000,000,000,000,000-2,810,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2844.0s ETA=168min -0.5%
[182/822] 2,810,000,000,000,000,000-2,820,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2860.0s ETA=168min -0.4%
[183/822] 2,820,000,000,000,000,000-2,830,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2876.0s ETA=167min -0.3%
[184/822] 2,830,000,000,000,000,000-2,840,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2892.0s ETA=167min -0.2%
[185/822] 2,840,000,000,000,000,000-2,850,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2908.0s ETA=167min -0.1%
